invoice_code	invoice_no
1200203130	08573458
1200203130	08573396
1200203130	08572532
012002000411	22036234
042002100111	03555428
1200204130	04831077
1200204130	04829096
1200204130	04829913
012002000411	22036576
1200204130	04826802
012002000411	22036559
1200192130	01961502
1200192130	01961324
051002000511	07081342
051002000611	72647336
1200212130	03585948
1200212130	03588433
1200212130	03588356
046001900111	52298703
1200212130	03585570
032001700311	71922117
032002000411	35122590
037002000311	60517021
3100212130	11648203
032002000511	98068648
1200212130	03584299
1200212130	03584298
033002000211	00028638
033002000211	00028636
1100211130	20921474
051002100211	02210979
1200212130	03587247
3200211130	39446217
1200212130	03588732
1200212130	03586747
1200212130	03586742
1200212130	03586672
1200212130	03586581
1200212130	03586341
1200212130	03586286
1200212130	03586219
3200213130	33999254
1200212130	08304072
012002000511	02020105
1200212130	03589849
1200212130	03589347
1200212130	03589142
1200212130	03589067
1200212130	03589053
1200212130	03589042
1200212130	03589014
1200212130	03589646
1200212130	03589639
1200212130	03589624
1200212130	03589612
1200212130	03589572
1200212130	03589454
012002100211	09924366
1200212130	08305405
1200212130	08312919
1200212130	08312880
1200212130	08312869
1200212130	08312752
1200212130	08305209
1200212130	08305048
050002100311	64239279
035002200211	17568844
035002200211	20710782
050002200111	23207647
031002000111	46002274
050002200111	07979597
042002200311	60968253
011002200811	35285355
033002200411	71454386
037002200111	78387515
011002200911	55489442
052002200111	21120479
043002200111	20366527
050002200111	15396976
011002200811	35285360
1200194130	05446065
1200202130	01961992
1200202130	01961765
1200202130	01961446
1200203130	03053441
1200203130	08571840
1200203130	03054784
1200203130	08573595
1200203130	08573586
1200203130	08571339
1200203130	08572626
042002100111	03555418
1200204130	04831110
1200204130	04827407
1200204130	04829477
1200204130	04829431
012002000411	22035906
1200204130	04828670
1200204130	04828116
012001800111	73800875
1200192130	01961291
1200192130	01961186
1200192130	01961160
1100212130	14261894
2100213130	01308700
013001620011	85976481
044002100211	61888459
011002000104	10933084
1100211130	15729585
3200212130	00363961
1200212130	03587502
1200212130	03585660
1200212130	03585636
1200212130	03585453
1200212130	03585226
037002000311	60517019
1200212130	03584367
1200212130	03584363
1200212130	03584360
1200212130	03584308
032002000511	98068643
1200212130	03587353
1200212130	03587337
012002000511	02020080
1200212130	03586771
1200212130	03588704
1200212130	03588670
1200212130	03586644
1200212130	03586593
1200212130	03586415
1200212130	03586381
1200212130	03586298
1200212130	03586184
1200212130	03586178
1200212130	08304065
1200212130	03588997
1200212130	03589635
1200212130	03589587
1200212130	03589545
1200212130	03589427
1200212130	08313522
1200212130	08313433
1200212130	08312891
1200212130	08312860
1200212130	08312816
1200212130	08312751
1200212130	08305278
1200212130	08305271
1200212130	08305241
011002200911	55489431
011002200911	55489416
041002200211	26944216
011002200911	55489407
041002100211	52988899
034002200111	59268121
032002100811	03176662
033002200411	43764855
044002200511	80579304
050002200111	14811042
042002200311	60968257
1200201130	01983124
1200203130	08571662
1200203130	08569238
1200203130	03054910
012002000311	76639405
011002000611	89433793
1200203130	08571177
1200203130	08571929
042002100111	03555427
1200204130	04829593
1200204130	04830514
1200204130	04830062
1200204130	04830049
1200204130	04829883
012002000411	22036560
1200192130	01961523
1200192130	01961764
1200192130	01961377
1200192130	01961350
1200192130	01961343
1200192130	01961279
1200192130	01961228
1200194130	00698550
1200201130	01983145
051002000711	80299235
1200213130	07080215
3200212130	46521351
011002100211	51510759
1200212130	03585952
012002000511	02020052
1200212130	03587494
1200212130	03588283
1200212130	03588276
034012000211	86528887
1200212130	03585297
1200212130	03585293
1200212130	03585251
023001900111	97247668
041002000104	10968885
033002000211	00028640
050002100111	09228584
012002000311	15507213
012002000311	15507210
011002200211	63004189
011002200111	49545817
1200212130	03587271
1200212130	03586770
1200212130	03588711
1200212130	03588682
1200212130	03586596
1200212130	03586404
1200212130	03586352
1200212130	03586317
1200212130	03586308
1200212130	03586302
1200212130	08304090
1200212130	08304083
1200212130	03589991
1200212130	03589064
1200212130	03589670
1200212130	03589607
1200212130	03589505
1200212130	08306083
1200212130	08305620
1200212130	08305402
1200212130	08312953
1200212130	08312901
1200212130	08312822
1200212130	08312755
1200212130	08305266
1200212130	08305265
1200212130	08305213
1200212130	08305153
1200212130	08305140
1200212130	08305079
1200224130	00883396
031002000111	46002273
050002200111	26092057
034002200111	42166916
031002200211	45605373
011002200911	55877484
033002200411	71454383
041002200211	17376389
031002200211	45605387
034002200111	57757082
032002100811	03176661
033002200411	43764852
041002100211	72738489
041002200211	26944219
033002200411	59443323
044032200111	29798592
031002200211	45605381
011002200911	55489454
032001600511	37402155
044002207111	23776893
011002200911	55518564
1200202130	01961820
1200202130	01961364
1200202130	01961136
1200203130	00390559
021001900104	48552531
1200203130	08569250
1200203130	08568969
1200203130	08568766
1200203130	03053572
1200203130	08571397
1200203130	08572597
1200204130	04827405
1200204130	04830512
1200204130	04829444
1200204130	04829108
1200204130	04829044
1200204130	04829039
1200204130	04829885
1200204130	04829847
1200192130	01961793
1200192130	01961880
1200192130	01961309
6100213130	07082804
1200212130	03586050
1200212130	03585991
1200212130	03585985
1200212130	03585979
1200212130	03587461
1200212130	03588391
1200212130	03588389
1200212130	03588345
051002000611	62674382
1200212130	03588169
1200212130	03585300
4300204130	02485815
3400212130	02973324
043002000211	57383867
2100202130	02035370
011002100111	74645961
1200212130	03584312
043002000211	57383856
051002100211	02210981
1200214130	10370756
012002100611	42643697
1200212130	03586930
1200212130	03588717
1200212130	03588712
1200212130	03586571
1200212130	03586560
1200212130	03586339
1200212130	08304332
012002000511	02020118
012002000511	02020113
1200212130	03589076
1200212130	03588994
1200212130	03589583
1200212130	03589497
012002100211	09924639
050002100111	38563833
1200212130	08312935
1200212130	08312928
1200212130	08305191
011002100311	33894565
050002100111	25652546
050002200111	09828625
011002200911	55489426
050002200111	23207645
034002200111	59268444
041002100211	52988901
042002200411	51116055
061002201311	10054451
011002200911	55556389
052002200111	21120473
041002200211	26195847
043002200111	46942768
041002200211	08424894
044002200511	80579302
032002100811	03176665
037022100211	07610496
1200201130	01983128
1200201130	01983127
1200202130	01961939
1200202130	01961610
1200202130	01961413
1200203130	08571657
1200203130	08571647
1200203130	08571448
1200203130	08573515
1200203130	08573413
1200203130	08570875
1200204130	04831080
1200204130	04827447
037002000311	07784078
012002000511	02021104
050002000111	85727938
1200204130	04830114
012002000511	02020784
012002000511	02020772
1200204130	04828117
1200204130	04828096
1200204130	04828046
1200192130	01961676
1200192130	01961304
5000203130	05653931
1200212130	03586110
1200212130	03586108
1200212130	03586042
1200212130	03586018
1200212130	03588509
046001900111	52298704
1200212130	03587464
043002100111	14494836
1200212130	03588291
1200212130	03588271
1200212130	03585602
044032100111	33943151
1200212130	03588066
1200212130	03588030
1200212130	03588019
051002000611	28909449
011002100211	50097430
1200212130	03587983
1200212130	03587972
1200212130	03587900
1200212130	03587897
011002100111	74645964
1200212130	03584300
043002000211	57383857
044002100211	11274529
1200212130	03586885
1200212130	03586696
1200212130	03586630
1200212130	03586595
1200212130	03586561
1200212130	03586418
1200212130	03586393
1200212130	03586202
1200212130	03586193
1200212130	08304350
1200212130	08304060
1200212130	03589825
1200212130	03589075
1200212130	03589658
1200212130	03589610
1200212130	03589586
1200212130	03588984
1200212130	08306121
012002000311	15504839
1200212130	08312930
1200212130	08312794
1200212130	08312786
1200212130	08305264
1200212130	08305263
1200212130	08305256
3500222130	05971489
3500212130	06326267
1200221130	06553266
050002100311	64239277
050002200111	09823491
035002200211	26386299
044032200211	21723759
050002200111	15429927
011002200811	86287411
011002200811	86287410
012002100711	33942402
044002200511	80579306
044002200511	63347878
032002200511	13679660
037022100211	07610486
044002200411	50333937
011002200911	55489456
050002100311	82412699
011002200911	85841617
035002200211	20710784
041002200211	26195859
044002207111	60692519
035002200211	17568854
037002000111	28405346
1200202130	01961897
1200202130	01961889
1200202130	01961862
1200203130	00391937
012001800111	74906415
1200203130	08571846
1200203130	08568749
1200203130	03054932
1200203130	03054912
1200203130	03054892
1200203130	03053591
042001800311	85017232
1200203130	08569591
1200203130	08571445
1200203130	08571208
1200203130	08571190
1200203130	08572658
1200204130	04827521
1200204130	04829658
1200204130	04829516
1200204130	04829106
1200204130	04829091
1200204130	04828008
1200204130	04829842
5100193130	14417899
1100212130	14261983
1200212130	03586104
1200212130	03586074
1200212130	03587486
1200212130	03588326
011002100111	97337049
012002000511	02019994
1200212130	03588104
1200212130	03588050
051002000611	28909899
1200212130	03584368
1200212130	03584316
1200212130	03584305
1200212130	03584291
051002100211	02208846
1200212130	03587364
1200212130	03586751
1200212130	03588691
1200212130	03588599
1200212130	03586412
1200212130	03586290
1200212130	03586289
1200212130	03589862
1200212130	03589842
1200212130	03589769
1200212130	03589149
1200212130	03589688
1200212130	03588995
1200212130	03589570
1200212130	03589529
1200212130	08313327
1200212130	08312957
1200212130	08312939
1200212130	08312910
1200212130	08312872
1200212130	08312825
1200212130	08312811
1200212130	08305216
1200212130	08305214
1200212130	08305159
012002000511	02020124
011002200811	86287420
044002211211	13243240
031002200211	45605370
036002200111	49801459
033002200411	71454387
044032200211	07395366
011002200911	85841605
043002200111	20366525
031002200211	06310539
011002200811	86287425
037002200111	78387527
023002200111	07699252
052002200111	19959642
031002200311	34904945
1200202130	01961883
1200203130	00390555
042001800311	85017217
021001900104	48552534
1200203130	08569241
1200203130	08568945
1200203130	08568740
044032000211	04527056
1200203130	08571329
1200203130	08573154
1200203130	08572769
1200204130	04827453
1200204130	04830085
1200204130	04828669
1200192130	01961380
3300211130	51263848
034012100111	03401879
1200212130	03586033
1200212130	03587523
1200212130	03587497
1200212130	03587471
1200212130	03588370
1200212130	03588328
011002100211	51510755
1200212130	03588312
1200212130	03588129
1200212130	03588123
1200212130	03588069
1200212130	03588068
011002100211	51510748
1200212130	03588013
061001900204	01314004
011002100211	51510731
041002000211	99845183
1200212130	03584336
1200212130	03587371
1200212130	03587292
1200212130	03586948
1200212130	03586896
1200212130	03588729
1200212130	03586743
1200212130	03586385
1200212130	03586345
1200212130	03586336
1200212130	03586269
1200212130	03586157
1200212130	03589972
1200212130	03589857
1200212130	03589310
1200212130	03589568
1200212130	03589487
045002000111	45064701
1200212130	08313505
1200212130	08313466
1200212130	08305580
1200212130	08305434
1200212130	08312867
1200212130	08312852
1200212130	08312810
1200212130	08312796
1200212130	08305232
1200212130	08305059
012002000511	02020125
3200221130	33973139
3500212130	06326274
035002100111	59711954
050002100311	64239276
032002000211	92788412
043002200111	46942764
022002100111	40225987
061002101311	75099978
053002200111	14336333
037022100211	07610490
011002200911	85841606
034002200111	24903020
046002100111	69338617
3100201130	15476108
012001900111	18035564
1200202130	01961596
1200203130	08569240
1200203130	03054875
1200203130	03054159
012002000411	22036479
1200203130	08573302
1200203130	08572627
1200203130	08572588
012002000411	22036231
1200204130	04827341
1200204130	04829054
1200204130	04829040
1200192130	01961621
1200192130	01961566
1200192130	01961522
1200192130	01961368
5100193130	14417904
011002000104	51296899
4403212130	31460356
5000203130	05652990
1200212130	03588539
1200212130	03587480
1200212130	03588411
1200212130	03588309
1200212130	03585634
1200212130	03585616
1200212130	03585536
1200212130	03585452
1200212130	03588120
1200212130	03588109
3200211130	50782994
1200212130	03585203
021002000404	06845393
037002000311	60517016
1200212130	03584349
1200214130	10370779
050002000213	01983114
1200212130	03587289
1200212130	03586959
1200212130	03588714
1200212130	03586590
1200212130	03586567
1200212130	03586545
1200212130	03586397
1200212130	03586360
1200212130	03589281
1200212130	03589239
1200212130	03589618
1200212130	03589592
1200212130	03589514
1200212130	03588988
1200212130	03589477
1200212130	03589448
1200212130	08305721
1200212130	08313449
1200212130	08305618
